time,close,probability,cash,equity,in_position
2025-08-26,228.87376403808597,0.5443410376219703,10008.422722655856,10008.422722655856,0
2025-08-27,230.0515289306641,0.5567450562091619,10008.422722655856,10008.422722655856,0
2025-08-28,232.1175842285156,0.5933800577090935,8006.738178124685,10002.431650850733,1
2025-08-29,231.6983795166016,0.5409818939447356,8006.738178124685,9998.827425388525,1
2025-09-02,229.28298950195312,0.4693722751212738,8006.738178124685,9978.060458929076,1
2025-09-03,238.01634216308597,0.4887421837102037,8006.738178124685,10053.147811568757,1
2025-09-04,239.32383728027344,0.5356834679397915,8006.738178124685,10064.389353133412,1
2025-09-05,239.2340087890625,0.4821149308101355,10057.450505683268,10057.450505683268,0
2025-09-08,237.42745971679688,0.43495620096335263,10057.450505683268,10057.450505683268,0
2025-09-09,233.9041748046875,0.43056904932507306,10057.450505683268,10057.450505683268,0
2025-09-10,226.35855102539065,0.4085644219864456,10057.450505683268,10057.450505683268,0
2025-09-11,229.59239196777344,0.379389901049608,10057.450505683268,10057.450505683268,0
2025-09-12,233.6247100830078,0.4066323911620966,10057.450505683268,10057.450505683268,0
2025-09-15,236.24969482421875,0.48873506027965846,10057.450505683268,10057.450505683268,0
2025-09-16,237.6969451904297,0.44610009834902864,10057.450505683268,10057.450505683268,0
2025-09-17,238.5353546142578,0.49525901530315725,10057.450505683268,10057.450505683268,0
2025-09-18,237.42745971679688,0.4274175614986991,10057.450505683268,10057.450505683268,0
2025-09-19,245.032958984375,0.3842265428335151,10057.450505683268,10057.450505683268,0
2025-09-22,255.5928192138672,0.39324127147928406,10057.450505683268,10057.450505683268,0
2025-09-23,253.9459686279297,0.42979087899862606,10057.450505683268,10057.450505683268,0
2025-09-24,251.8300018310547,0.33325820811506546,10057.450505683268,10057.450505683268,0
2025-09-25,256.3813171386719,0.3191249747071796,10057.450505683268,10057.450505683268,0
2025-09-26,254.97401428222656,0.36142291290037415,10057.450505683268,10057.450505683268,0
2025-09-29,253.9459686279297,0.33425111228306686,10057.450505683268,10057.450505683268,0
2025-09-30,254.1455993652344,0.3378605336260041,10057.450505683268,10057.450505683268,0
2025-10-01,254.9640350341797,0.33697112024445813,10057.450505683268,10057.450505683268,0
2025-10-02,256.6408386230469,0.34171118042939824,10057.450505683268,10057.450505683268,0
2025-10-03,257.5291442871094,0.32913211175122503,10057.450505683268,10057.450505683268,0
2025-10-06,256.20166015625,0.3751315837289035,10057.450505683268,10057.450505683268,0
2025-10-07,255.9920959472656,0.3783841346762165,10057.450505683268,10057.450505683268,0
